City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
358,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
367,Saraipali,IN,83.5,overcast clouds,21.3333,83.0,UTTAR KUMAR SIDAR
370,Iracoubo,GF,84.15,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
371,Clinton,US,85.19,overcast clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
376,Hargeysa,SO,76.69,light rain,9.56,44.065,City Center Hotel
377,Dyersburg,US,88.99,clear sky,36.0345,-89.3856,Hampton Inn Dyersburg
381,Bethel,US,80.42,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
383,Mitsamiouli,KM,77.02,light rain,-11.3847,43.2844,Foyer ADM
387,Manaus,BR,88.3,scattered clouds,-3.1019,-60.025,Manaus Hotéis Millennium
389,San Francisco De Coray,HN,88.83,broken clouds,13.6614,-87.5328,Las Uvas comunid
390,Santa Maria,BR,83.5,clear sky,-29.6842,-53.8069,Hotel Morotin
392,Faanui,PF,78.85,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
394,Miranda,CO,83.64,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
398,Williston,US,89.82,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
401,Farmington,US,85.21,smoke,36.7281,-108.2187,Courtyard by Marriott Farmington
404,Sibiti,CG,80.96,overcast clouds,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
405,Oda,JP,77.02,heavy intensity rain,35.1833,132.5,Sky Hotel Oda
406,Astorga,BR,79.2,clear sky,-23.2325,-51.6656,Rancho Jads
413,Kamenka,RU,80.65,overcast clouds,51.3223,42.7678,
415,Bantou,CN,80.47,overcast clouds,26.2151,117.4893,
419,Zhanakorgan,KZ,86.36,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
420,Karwar,IN,78.12,overcast clouds,14.8,74.1333,Netalco Connects
426,Ribeira Grande,PT,77.4,broken clouds,38.5167,-28.7,Quinta da Meia Eira
