City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Novo Aripuana,BR,-5.1206,-60.3797,99.99,23,14,4.5,few clouds
307,Pilar,BR,-9.5972,-35.9567,78.73,60,80,8.32,broken clouds
308,Yambio,SS,4.5721,28.3955,68.58,93,66,2.84,light rain
309,Kudahuvadhoo,MV,2.6708,72.8944,83.84,73,100,13.38,overcast clouds
310,Fairview,US,40.8126,-73.999,82.99,66,75,3.0,broken clouds
311,Meadow Lake,US,34.8014,-106.5436,88.39,22,0,7.02,clear sky
312,Broome,US,42.2506,-75.833,84.69,61,44,1.99,scattered clouds
313,Bondoukou,CI,8.0333,-2.8,80.28,71,93,4.61,light rain
314,Nichinan,JP,31.6,131.3667,78.4,88,100,26.33,overcast clouds
315,Hovd,MN,48.0056,91.6419,62.37,55,100,2.37,overcast clouds
316,Svetlogorsk,BY,52.6333,29.7333,73.13,55,71,2.62,broken clouds
317,Ambunti,PG,-4.2365,142.8448,72.32,99,91,0.83,overcast clouds
318,Ambovombe,MG,-25.1667,46.0833,65.59,81,0,6.44,clear sky
319,Nhulunbuy,AU,-12.2333,136.7667,72.21,83,5,6.91,clear sky
320,Vanavara,RU,60.34,102.2797,57.56,59,63,3.91,broken clouds
321,Waddan,LY,29.1614,16.139,100.81,15,0,14.94,clear sky
322,Bongouanou,CI,6.6486,-4.1992,83.34,57,55,3.78,broken clouds
323,Asau,RO,46.4333,26.4,77.92,62,14,0.51,few clouds
324,Huanuni,BO,-18.2667,-66.85,52.29,21,6,10.42,clear sky
325,Nueva Italia,PY,-25.6167,-57.5,87.03,21,27,12.64,scattered clouds
326,Klaksvik,FO,62.2266,-6.589,54.52,92,85,9.62,overcast clouds
327,Chislaz,RO,47.2833,22.2333,93.42,25,26,3.42,scattered clouds
328,Xining,CN,36.6167,101.7667,58.05,77,83,1.48,broken clouds
329,Ulaanbaatar,MN,47.9077,106.8832,55.53,76,40,6.71,scattered clouds
330,Walvis Bay,NA,-22.9575,14.5053,58.08,89,6,21.74,clear sky
331,Aksarka,RU,66.5606,67.7975,54.73,68,100,15.05,overcast clouds
332,General Roca,AR,-39.0333,-67.5833,52.2,25,91,10.42,overcast clouds
333,Acajutla,SV,13.5928,-89.8275,85.8,71,100,4.05,overcast clouds
334,Sanandaj,IR,35.3144,46.9923,84.2,22,75,8.08,broken clouds
335,Ostrovnoy,RU,68.0531,39.5131,57.31,68,38,11.74,scattered clouds
